Afflicted Abomination
Bitten Beater
Bleeding Biter
Bloodthirsty Bloater
Bloody Bolter
Carrier Bomber
Crimson Boomer
Crumbling Butcher
Dead Cannibal
Deadly Carcass
Decaying Charger
Edacious Corpser
Esurient Crawler
Faceless Demolisher
Unquenchable Demon
Ferocious Dragger
Fetid Drowner
Frenzied Eater
Gargantuan Floater
Gluttonous Ghoul
Gnawing Grabber
Gutless Hunter
Homeless Jockey
Hungry Killer
Hurt Lurker
Infected Mauler
Unrelenting Menace
Insatiable Ogre
Lumbering Other
Maimed Parasite
Malevolent Pyscho
Monstrous Reanimated
Necrotic Ripper
Night Roamer
Predacious Rotter
Predatory Runner
Puking Savage
Putrid Scavenger
Rabid Screamer
Rancid Skeleton
Rapacious Skineater
Ravening Skullcrusher
Ravenous Smoker
Ravenous Spitter
Relentless Stalker
Resurrected Straggler
Rotting Swimmer
Scarred Tank
Shambling Thrasher
Sickly Undead
Soulless Viral
Tormented Volatile
Undying Walker
